Rating,RatingSource,imdbID
 6.9/10, Internet Movie Database,tt1006835
 2.4/10, Internet Movie Database,tt2554714
 6.3/10, Internet Movie Database,tt1090670
 5.5/10, Internet Movie Database,tt1990255
 5.0/10, Internet Movie Database,tt0206367
15%, Rotten Tomatoes,tt0206367
 27/100, Metacritic,tt0206367
 7.6/10, Internet Movie Database,tt0046287
 6.8/10, Internet Movie Database,tt0025597
 7.2/10, Internet Movie Database,tt0288410
 7.4/10, Internet Movie Database,tt0021959
 6.9/10, Internet Movie Database,tt0800262
 7.1/10, Internet Movie Database,tt0928078
 5.4/10, Internet Movie Database,tt0098347
13%, Rotten Tomatoes,tt0098347
 5.9/10, Internet Movie Database,tt0042967
 5.8/10, Internet Movie Database,tt1080813
 5.1/10, Internet Movie Database,tt0069796
 4.8/10, Internet Movie Database,tt0043064
 6.8/10, Internet Movie Database,tt0053230
 3.7/10, Internet Movie Database,tt0058512
 5.3/10, Internet Movie Database,tt1093394
 7.3/10, Internet Movie Database,tt1621642
 7.9/10, Internet Movie Database,tt0874311
 7.8/10, Internet Movie Database,tt1149397
 7.3/10, Internet Movie Database,tt6135424
 7.0/10, Internet Movie Database,tt1181793
 7.5/10, Internet Movie Database,tt2391934
 6.6/10, Internet Movie Database,tt0481637
 6.9/10, Internet Movie Database,tt0032124
 6.4/10, Internet Movie Database,tt0102020
 5.7/10, Internet Movie Database,tt1854269
 4.0/10, Internet Movie Database,tt0009696
 6.4/10, Internet Movie Database,tt2140619
40%, Rotten Tomatoes,tt2140619
 45/100, Metacritic,tt2140619
 6.1/10, Internet Movie Database,tt0452684
 6.5/10, Internet Movie Database,tt0211467
 5.9/10, Internet Movie Database,tt1433235
 3.1/10, Internet Movie Database,tt1542846
 7.0/10, Internet Movie Database,tt2756554
 5.9/10, Internet Movie Database,tt0050547
 7.6/10, Internet Movie Database,tt0397019
 6.2/10, Internet Movie Database,tt0127257
 6.2/10, Internet Movie Database,tt3289518
 5.6/10, Internet Movie Database,tt2241213
 6.9/10, Internet Movie Database,tt5440594
 3.5/10, Internet Movie Database,tt0105289
 7.4/10, Internet Movie Database,tt0302300
 6.1/10, Internet Movie Database,tt0161677
