Person,Responsibility,imdbID
Ernest Vajda,story,tt0016750
Ben F. Wilson,scenario,tt0328410
Sam-yuk Yoon,screenplay,tt0366512
Judy Rothman Rofé,screenplay,tt0206367
E.B. White,book,tt0206367
Norman Reilly Raine,story,tt0046287
Steve Fisher,screenplay,tt0046287
Franz Schulz,story,tt0025597
Billy Wilder,story,tt0025597
Andrew N. Shearer,story,tt1851002
Bruno Gascon,original screenplay,tt4451626
Tama Janowitz,based on the stories by,tt0098347
Tama Janowitz,screenplay,tt0098347
Daniel B. Ullman,original screenplay,tt0042967
Russ Meyer,screenplay,tt0069796
Leonard Neubauer,screenplay,tt0069796
Anthony-James Ryan,original story,tt0069796
Don 'Red' Barry,story,tt0043064
René Lefèvre,novel,tt0053230
Harry Spalding,screenplay,tt0058512
F. Paul Hall,story,tt0058512
Benjamaporn Srabua,screenplay,tt1621642
Nawapol Thamrongrattanarit,screenplay,tt1621642
Adisorn Trisirikasem,screenplay,tt1621642
Mary H. O'Connor,story,tt0008122
Melania Romanelli,screenwriter,tt2391934
James M. Cain,"story ""A Modern Cinderella""",tt0032124
Dwight Taylor,screenplay,tt0032124
Eugene B. Lewis,screenplay,tt0009696
Eugene B. Lewis,story,tt0009696
Houston Roderick,story,tt1433235
Bruno François-Boucher,screenplay,tt4403312
Dorothy Parker,story,tt4403312
Petr Hátle,story,tt3289518
Shankar Ramakrishnan,story,tt5440594
Shuki Levy,screenplay,tt0105289
Shuki Levy,story,tt0105289
Philip Lonergan,scenario,tt0765209
Beth Rosen,creator,tt3363428
Sylvia Lancaster,words,tt5115318
Simon Armitage,poetry,tt5115318
Victoria Holt,story,tt1583263
Omar Rosales,story,tt1583263
Debbie Rochon,written with,tt0296148
Jared Joseph Richard,screenplay,tt1683925
Julie Salamon,book,tt0115892
Jill Weber,book,tt0115892
Janet Brownell,teleplay,tt0115892
Sally Field,teleplay,tt0115892
Wen-Yong Soo,translation,tt1421375
Alan Dillingham,original story,tt4560128
Seth Roberts,screenplay,tt4560128
Jessica Murphy,story,tt3237268
Charles Band,story by,tt5257554
Tay Garnett,screenplay,tt0019288
Tay Garnett,story,tt0019288
